
Conexiones activas

  Proto  Dirección local          Dirección remota        Estado           PID
  UDP    0.0.0.0:5353           *:*                                    21164
  UDP    0.0.0.0:5353           *:*                                    2100
  UDP    0.0.0.0:5353           *:*                                    21164
  UDP    0.0.0.0:5355           *:*                                    2100
  UDP    0.0.0.0:49299          *:*                                    5348
  UDP    0.0.0.0:49666          *:*                                    5484
  UDP    0.0.0.0:49791          127.0.0.1:49790                        39404
  UDP    0.0.0.0:50083          *:*                                    5348
  UDP    0.0.0.0:50612          127.0.0.1:50611                        39404
  UDP    0.0.0.0:50794          127.0.0.1:50793                        39404
  UDP    0.0.0.0:51957          52.96.165.210:443                      25432
  UDP    0.0.0.0:54374          127.0.0.1:54373                        39404
  UDP    0.0.0.0:55333          127.0.0.1:55332                        39404
  UDP    0.0.0.0:55335          127.0.0.1:55334                        39404
  UDP    0.0.0.0:55337          127.0.0.1:55336                        39404
  UDP    0.0.0.0:55339          127.0.0.1:55338                        39404
  UDP    0.0.0.0:55341          127.0.0.1:55340                        39404
  UDP    0.0.0.0:55343          127.0.0.1:55342                        39404
  UDP    0.0.0.0:55345          127.0.0.1:55344                        39404
  UDP    0.0.0.0:56161          *:*                                    21164
  UDP    0.0.0.0:57233          35.186.224.24:443                      16736
  UDP    0.0.0.0:57416          *:*                                    21164
  UDP    0.0.0.0:57501          35.186.224.9:443                       16736
  UDP    0.0.0.0:57621          *:*                                    21164
  UDP    0.0.0.0:58837          *:*                                    2100
  UDP    0.0.0.0:65146          172.217.30.196:443                     16736
  UDP    10.212.136.110:137     *:*                                    4
  UDP    10.212.136.110:138     *:*                                    4
  UDP    10.212.136.110:1900    *:*                                    4976
  UDP    10.212.136.110:5353    *:*                                    5484
  UDP    10.212.136.110:50608   *:*                                    4976
  UDP    127.0.0.1:1900         *:*                                    4976
  UDP    127.0.0.1:49668        127.0.0.1:49668                        5444
  UDP    127.0.0.1:49669        127.0.0.1:49670                        5464
  UDP    127.0.0.1:49670        127.0.0.1:49669                        5464
  UDP    127.0.0.1:49790        *:*                                    39404
  UDP    127.0.0.1:50610        *:*                                    4976
  UDP    127.0.0.1:50611        *:*                                    39404
  UDP    127.0.0.1:50793        *:*                                    39404
  UDP    127.0.0.1:53172        127.0.0.1:53172                        5788
  UDP    127.0.0.1:54373        *:*                                    39404
  UDP    127.0.0.1:55332        *:*                                    39404
  UDP    127.0.0.1:55334        *:*                                    39404
  UDP    127.0.0.1:55336        *:*                                    39404
  UDP    127.0.0.1:55338        *:*                                    39404
  UDP    127.0.0.1:55340        *:*                                    39404
  UDP    127.0.0.1:55342        *:*                                    39404
  UDP    127.0.0.1:55344        *:*                                    39404
  UDP    192.168.1.5:137        *:*                                    4
  UDP    192.168.1.5:138        *:*                                    4
  UDP    192.168.1.5:1900       *:*                                    4976
  UDP    192.168.1.5:5353       *:*                                    5484
  UDP    192.168.1.5:50609      *:*                                    4976
  UDP    [::]:3389              *:*                                    1868
  UDP    [::]:5353              *:*                                    21164
  UDP    [::]:5353              *:*                                    21164
  UDP    [::]:5353              *:*                                    21164
  UDP    [::]:5353              *:*                                    2100
  UDP    [::]:5353              *:*                                    21164
  UDP    [::]:5353              *:*                                    30624
  UDP    [::]:5353              *:*                                    30624
  UDP    [::]:5355              *:*                                    2100
  UDP    [::]:49299             *:*                                    5348
  UDP    [::]:49667             *:*                                    5484
  UDP    [::]:50083             *:*                                    5348
  UDP    [::]:58837             *:*                                    2100
  UDP    [::1]:1900             *:*                                    4976
  UDP    [::1]:5353             *:*                                    5484
  UDP    [::1]:50607            *:*                                    4976
  UDP    [fe80::2ded:755f:9d28:b4a6%6]:1900  *:*                                    4976
  UDP    [fe80::2ded:755f:9d28:b4a6%6]:50605  *:*                                    4976
  UDP    [fe80::de0d:b3e3:6e27:e42c%9]:1900  *:*                                    4976
  UDP    [fe80::de0d:b3e3:6e27:e42c%9]:50606  *:*                                    4976
